itemsTagged,street,rubbishType,day,serverTimeStamp,city,state,lat,long
1,Broadway St,tobacco,Wednesday,"2/12/2020, 7:51:52 PM",Redwood City,CA,37.48651507,-122.2293602
1,Broadway St,tobacco,Wednesday,"2/12/2020, 7:51:34 PM",Redwood City,CA,37.4865767,-122.2292613
1,Middlefield Rd,plastic,Wednesday,"2/12/2020, 7:51:27 PM",Redwood City,CA,37.48718245,-122.2292209
1,Middlefield Rd,paper,Wednesday,"2/12/2020, 7:51:26 PM",Redwood City,CA,37.48660288,-122.2292024
1,Broadway St,paper,Wednesday,"2/12/2020, 7:50:42 PM",Redwood City,CA,37.48703399,-122.2292226
1,Middlefield Rd,plastic,Wednesday,"2/12/2020, 7:50:12 PM",Redwood City,CA,37.48720486,-122.2292155
1,Middlefield Rd,tobacco,Wednesday,"2/12/2020, 7:49:41 PM",Redwood City,CA,37.48703957,-122.2291798
1,Middlefield Rd,plastic,Wednesday,"2/12/2020, 7:49:10 PM",Redwood City,CA,37.48674637,-122.229148
1,Middlefield Rd,paper,Wednesday,"2/12/2020, 7:48:44 PM",Redwood City,CA,37.48657444,-122.2291857
1,Broadway St,paper,Wednesday,"2/12/2020, 7:48:37 PM",Redwood City,CA,37.48655811,-122.2292202
1,Broadway St,plastic,Wednesday,"2/12/2020, 7:48:18 PM",Redwood City,CA,37.48646303,-122.2292368
1,Middlefield Rd,tobacco,Wednesday,"2/12/2020, 7:47:40 PM",Redwood City,CA,37.48608988,-122.2292157
1,Middlefield Rd,food,Wednesday,"2/12/2020, 7:47:25 PM",Redwood City,CA,37.48593717,-122.2292746
1,Middlefield Rd,paper,Wednesday,"2/12/2020, 7:47:14 PM",Redwood City,CA,37.48589438,-122.2292474
1,Middlefield Rd,paper,Wednesday,"2/12/2020, 7:47:06 PM",Redwood City,CA,37.48585503,-122.2292507
1,Middlefield Rd,paper,Wednesday,"2/12/2020, 7:47:00 PM",Redwood City,CA,37.48582121,-122.2292218
1,Middlefield Rd,plastic,Wednesday,"2/12/2020, 7:46:52 PM",Redwood City,CA,37.4857834,-122.22923
1,Middlefield Rd,plastic,Wednesday,"2/12/2020, 7:46:51 PM",Redwood City,CA,37.48577879,-122.2292117
1,Middlefield Rd,other,Wednesday,"2/12/2020, 7:46:34 PM",Redwood City,CA,37.48577136,-122.2291813
1,Middlefield Rd,plastic,Wednesday,"2/12/2020, 7:46:21 PM",Redwood City,CA,37.48572775,-122.2290447
1,Middlefield Rd,tobacco,Wednesday,"2/12/2020, 7:46:19 PM",Redwood City,CA,37.48572825,-122.2290312
1,Broadway St,paper,Wednesday,"2/12/2020, 7:42:28 PM",Redwood City,CA,37.48648763,-122.2293624
1,Broadway St,food,Wednesday,"2/12/2020, 7:42:05 PM",Redwood City,CA,37.48656395,-122.2294494
1,Broadway St,tobacco,Wednesday,"2/12/2020, 7:41:20 PM",Redwood City,CA,37.48649234,-122.2295348
1,Broadway St,other,Wednesday,"2/12/2020, 7:41:14 PM",Redwood City,CA,37.48650697,-122.2295532
1,Broadway St,tobacco,Wednesday,"2/12/2020, 7:40:51 PM",Redwood City,CA,37.48645603,-122.2295706
1,Broadway St,paper,Wednesday,"2/12/2020, 7:40:38 PM",Redwood City,CA,37.4865409,-122.2296228
1,Broadway St,paper,Wednesday,"2/12/2020, 7:40:35 PM",Redwood City,CA,37.48651576,-122.2296481
1,Broadway St,paper,Wednesday,"2/12/2020, 7:40:30 PM",Redwood City,CA,37.4865489,-122.2296563
1,Broadway St,plastic,Wednesday,"2/12/2020, 7:40:13 PM",Redwood City,CA,37.48649535,-122.2296807
1,Broadway St,plastic,Wednesday,"2/12/2020, 7:40:10 PM",Redwood City,CA,37.486491,-122.2297074
1,Broadway St,paper,Wednesday,"2/12/2020, 7:40:08 PM",Redwood City,CA,37.48648675,-122.2297115
1,Broadway St,plastic,Wednesday,"2/12/2020, 7:40:02 PM",Redwood City,CA,37.48649396,-122.2297131
1,Broadway St,paper,Wednesday,"2/12/2020, 7:40:01 PM",Redwood City,CA,37.48649464,-122.2297326
1,Broadway St,paper,Wednesday,"2/12/2020, 7:39:59 PM",Redwood City,CA,37.48647949,-122.2297441
1,Broadway St,paper,Wednesday,"2/12/2020, 7:39:56 PM",Redwood City,CA,37.48647013,-122.2297418
1,Broadway St,other,Wednesday,"2/12/2020, 7:39:54 PM",Redwood City,CA,37.48648399,-122.2297583
1,Broadway St,plastic,Wednesday,"2/12/2020, 7:39:47 PM",Redwood City,CA,37.48647831,-122.2298065
1,Broadway St,tobacco,Wednesday,"2/12/2020, 7:39:12 PM",Redwood City,CA,37.48644747,-122.229843
1,Broadway St,tobacco,Wednesday,"2/12/2020, 7:39:11 PM",Redwood City,CA,37.48645176,-122.2298578
1,Broadway St,paper,Wednesday,"2/12/2020, 7:38:50 PM",Redwood City,CA,37.48642212,-122.2298934
1,Broadway St,paper,Wednesday,"2/12/2020, 7:38:43 PM",Redwood City,CA,37.48641478,-122.2299214
1,Broadway St,tobacco,Wednesday,"2/12/2020, 7:38:31 PM",Redwood City,CA,37.48636795,-122.229999
1,Broadway St,tobacco,Wednesday,"2/12/2020, 7:38:28 PM",Redwood City,CA,37.4863486,-122.2299653
1,Broadway St,paper,Wednesday,"2/12/2020, 7:38:19 PM",Redwood City,CA,37.48636726,-122.2300007
1,Broadway St,tobacco,Wednesday,"2/12/2020, 7:38:15 PM",Redwood City,CA,37.48637197,-122.2300068
1,Broadway St,paper,Wednesday,"2/12/2020, 7:38:12 PM",Redwood City,CA,37.48639819,-122.2300282
1,Broadway St,paper,Wednesday,"2/12/2020, 7:38:05 PM",Redwood City,CA,37.48642036,-122.2300021
1,Broadway St,tobacco,Wednesday,"2/12/2020, 7:37:48 PM",Redwood City,CA,37.4864163,-122.2299584
1,Broadway St,other,Wednesday,"2/12/2020, 7:37:45 PM",Redwood City,CA,37.48641764,-122.2299673
1,Broadway St,paper,Wednesday,"2/12/2020, 7:37:42 PM",Redwood City,CA,37.4864338,-122.2299623
1,Broadway St,other,Wednesday,"2/12/2020, 7:37:21 PM",Redwood City,CA,37.48651721,-122.2297966
